protein,length,pLDDT,pTM,plddt_class,id
group_17273,112,61.8,0.501,Low,NA
group_17396,112,46.9,0.366,Very low,NA
group_8664,112,64.9,0.525,Low,NA
group_16699,113,73.5,0.487,Confident,NA
group_16827,113,33.8,0.234,Very low,NA
group_17006,113,85,0.859,Confident,NA
group_17074,113,49.8,0.257,Very low,NA
group_17179,113,63.1,0.454,Low,NA
group_17311,113,80.1,0.642,Confident,NA
group_6625,113,75.4,0.732,Confident,NA
group_6522,114,60.4,0.409,Low,NA
group_16977,114,57.5,0.348,Low,NA
group_16995,114,72.2,0.701,Confident,NA
group_17018,114,66,0.556,Low,NA
group_17388,114,43.4,0.311,Very low,NA
group_16375,115,46.7,0.329,Very low,NA
group_8497,115,43.9,0.214,Very low,NA
group_16665,115,67.9,0.641,Low,NA
group_16786,115,69.4,0.648,Low,NA
group_16823,115,79.7,0.836,Confident,NA
group_16938,115,47.7,0.367,Very low,NA
group_17120,115,30.8,0.175,Very low,NA
group_17382,115,67.3,0.641,Low,NA
group_17474,115,53.5,0.514,Low,NA
group_16249,116,84.2,0.681,Confident,NA
group_10501,116,75.3,0.712,Confident,NA
group_16332,116,84.3,0.869,Confident,NA
group_9901,116,79.1,0.742,Confident,NA
group_6347,116,81.4,0.812,Confident,NA
group_16906,116,38.8,0.294,Very low,NA
group_16962,116,56.1,0.395,Low,NA
group_8314,117,69.7,0.412,Low,NA
group_6292,117,65.4,0.39,Low,NA
group_17235,117,64.4,0.461,Low,NA
group_17252,117,54.8,0.363,Low,NA
group_17292,117,73,0.751,Confident,NA
group_17492,117,73.5,0.726,Confident,NA
group_6296,117,57.6,0.371,Low,NA
group_16234,118,76.7,0.789,Confident,NA
group_16275,118,64.9,0.456,Low,NA
group_16277,118,62,0.525,Low,NA
group_16562,118,33.9,0.207,Very low,NA
group_10778,118,83.5,0.696,Confident,NA
group_16601,118,73.3,0.669,Confident,NA
group_16637,118,26.5,0.142,Very low,NA
group_16691,118,58.7,0.456,Low,NA
group_6239,118,57.5,0.516,Low,NA
group_17173,118,52.2,0.47,Low,NA
group_17184,118,65.7,0.524,Low,NA
group_17392,118,68.6,0.641,Low,NA
group_8662,118,60.7,0.335,Low,NA
group_6171,119,76.7,0.789,Confident,NA
group_16813,119,75.3,0.51,Confident,NA
group_16858,119,72.4,0.485,Confident,NA
group_6172,119,33.9,0.221,Very low,NA
group_17141,119,33.3,0.115,Very low,NA
group_17170,119,55,0.376,Low,NA
group_16495,120,49.9,0.272,Very low,NA
group_16721,120,70.8,0.451,Confident,NA
group_16807,120,52.3,0.489,Low,NA
group_16830,120,65.4,0.583,Low,NA
group_17004,120,66.7,0.347,Low,NA
group_6101,120,33.7,0.22,Very low,NA
group_17312,120,83.9,0.847,Confident,NA
group_17364,120,47.7,0.321,Very low,NA
group_17554,120,71.1,0.584,Confident,NA
group_8690,120,39.8,0.266,Very low,NA
group_17622,120,54.9,0.447,Low,NA
group_6035,121,60.2,0.388,Low,NA
group_16474,121,43,0.376,Very low,NA
rayT_2,121,50.4,0.494,Low,NA
group_16804,121,60.2,0.572,Low,NA
group_17020,121,64.8,0.514,Low,NA
group_17366,121,38.1,0.279,Very low,NA
group_9099,121,49.3,0.37,Very low,NA
group_10575,122,51.6,0.342,Low,NA
group_5973,122,62.3,0.568,Low,NA
group_16757,122,74.9,0.737,Confident,NA
group_17078,122,68.4,0.43,Low,NA
group_15641,122,69.3,0.692,Low,NA
group_14633,123,38.3,0.255,Very low,NA
group_16983,123,60.3,0.357,Low,NA
ais_2,123,62.1,0.543,Low,NA
group_17367,123,64.4,0.597,Low,NA
group_17595,123,40.9,0.266,Very low,NA
group_16211,124,63.1,0.446,Low,NA
group_16537,124,84.2,0.761,Confident,NA
group_5870,124,80.9,0.836,Confident,NA
group_17090,124,72.4,0.69,Confident,NA
xre,124,76.6,0.547,Confident,NA
group_15594,124,76.1,0.737,Confident,NA
group_17586,124,69.5,0.384,Low,NA
group_5874,124,61.3,0.347,Low,NA
group_17628,124,34.6,0.247,Very low,NA
group_5810,125,79.7,0.75,Confident,NA
group_15116,125,73.5,0.485,Confident,NA
group_5811,125,67.4,0.63,Low,NA
group_17046,125,88.1,0.888,Confident,NA
group_17540,125,67.3,0.428,Low,NA
group_17589,125,49.8,0.37,Very low,NA
group_16271,126,50.9,0.284,Low,NA
group_16452,126,72.1,0.705,Confident,NA
group_16916,126,69.3,0.628,Low,NA
group_16951,126,87.1,0.888,Confident,NA
group_17091,126,59,0.343,Low,NA
group_15603,126,74.5,0.698,Confident,NA
group_17143,126,67.1,0.504,Low,NA
group_16610,127,38.6,0.253,Very low,NA
group_5654,127,81.9,0.826,Confident,NA
group_16844,127,47.1,0.482,Very low,NA
group_9343,127,56.8,0.207,Low,NA
group_17126,127,73.9,0.745,Confident,NA
group_5660,127,75.6,0.643,Confident,NA
group_15620,127,81.3,0.844,Confident,NA
group_16220,128,63.8,0.352,Low,NA
group_5579,128,33.7,0.226,Very low,NA
group_11205,128,37.9,0.335,Very low,NA
group_16547,128,63.1,0.649,Low,NA
group_5587,128,61.3,0.271,Low,NA
group_17201,128,56.5,0.426,Low,NA
group_17202,128,37.9,0.327,Very low,NA
group_16386,128,64,0.509,Low,NA
group_9093,128,70.2,0.723,Confident,NA
group_5523,129,62.8,0.557,Low,NA
group_16579,129,53.3,0.427,Low,NA
group_17092,129,78.4,0.798,Confident,NA
group_17379,129,31.3,0.165,Very low,NA
group_17519,129,48.4,0.323,Very low,NA
group_17639,129,35.6,0.226,Very low,NA
group_10583,130,35.8,0.288,Very low,NA
group_5473,130,84.2,0.864,Confident,NA
group_16592,130,78.4,0.755,Confident,NA
group_14935,130,38.9,0.301,Very low,NA
group_16751,130,50.3,0.409,Low,NA
group_17105,130,38.2,0.303,Very low,NA
group_17552,130,58.8,0.578,Low,NA
group_16616,131,65.6,0.37,Low,NA
group_5426,131,61.1,0.581,Low,NA
group_5427,131,87.4,0.877,Confident,NA
group_17048,131,41.3,0.384,Very low,NA
group_17069,131,52.9,0.474,Low,NA
group_16902,131,33.1,0.198,Very low,NA
group_17110,131,81,0.738,Confident,NA
group_17454,131,44.4,0.399,Very low,NA
group_16323,132,56.8,0.453,Low,NA
group_5352,132,69.6,0.429,Low,NA
group_9169,132,33.7,0.22,Very low,NA
group_11087,132,62.8,0.348,Low,NA
group_16855,132,54.8,0.3,Low,NA
group_16387,133,60.2,0.489,Low,NA
group_16527,133,75.1,0.724,Confident,NA
group_16802,133,67.5,0.617,Low,NA
group_15612,133,68.6,0.385,Low,NA
group_17238,133,76,0.677,Confident,NA
group_17607,133,79.9,0.578,Confident,NA
group_17633,133,36.3,0.243,Very low,NA
group_16515,134,45.2,0.42,Very low,NA
group_5251,134,51.8,0.341,Low,NA
group_5252,134,76,0.789,Confident,NA
group_16794,134,51.6,0.3,Low,NA
group_17003,134,70.1,0.427,Confident,NA
insB6,134,64.5,0.688,Low,NA
group_17256,134,61,0.466,Low,NA
group_17400,134,32.8,0.257,Very low,NA
group_9026,135,79,0.787,Confident,NA
group_11213,135,55.1,0.461,Low,NA
group_16618,135,60.8,0.345,Low,NA
group_17007,135,81.2,0.702,Confident,NA
group_17094,135,66.7,0.273,Low,NA
group_17104,135,54.8,0.384,Low,NA
group_17227,135,42,0.311,Very low,NA
group_17372,135,56.3,0.562,Low,NA
group_17457,135,83.4,0.699,Confident,NA
group_16948,136,48.9,0.435,Very low,NA
group_17376,136,56.4,0.431,Low,NA
group_16367,137,38.3,0.338,Very low,NA
group_4720,137,80.8,0.477,Confident,NA
group_9576,137,66.4,0.446,Low,NA
group_4724,137,55.8,0.358,Low,NA
group_17562,137,46.6,0.317,Very low,NA
phaJ,138,91.2,0.891,Very high,NA
group_4527,138,49,0.42,Very low,NA
group_4536,138,48.2,0.415,Very low,NA
group_16999,138,48.5,0.319,Very low,NA
group_15628,138,76.2,0.823,Confident,NA
group_4535,138,86.9,0.876,Confident,NA
group_17458,138,63.7,0.52,Low,NA
group_16305,139,84.1,0.598,Confident,NA
group_15854,139,70.9,0.683,Confident,NA
group_4392,139,52.7,0.412,Low,NA
group_16809,139,80.3,0.764,Confident,NA
group_17106,139,35,0.218,Very low,NA
insG_2,139,54.9,0.375,Low,NA
group_17294,139,77.1,0.453,Confident,NA
group_17497,139,37.8,0.263,Very low,NA
group_17618,139,62.1,0.462,Low,NA
group_15856,140,80.7,0.737,Confident,NA
group_16540,140,59.9,0.328,Low,NA
group_8362,140,74.7,0.784,Confident,NA
rpnB_1,140,79.2,0.661,Confident,NA
group_17550,140,67.7,0.436,Low,NA
ycdX_1,141,82.3,0.846,Confident,NA
yicL_2,141,70.4,0.648,Confident,NA
group_17193,141,47.6,0.319,Very low,NA
group_17555,141,84.4,0.738,Confident,NA
group_8646,141,75.7,0.76,Confident,NA
group_8647,141,48.9,0.428,Very low,NA
group_16437,142,85.9,0.876,Confident,NA
group_16642,142,85.3,0.65,Confident,NA
group_16896,142,78,0.45,Confident,NA
group_15656,142,53.9,0.373,Low,NA
group_17148,142,29,0.125,Very low,NA
group_17163,142,59.3,0.553,Low,NA
group_17139,143,36.9,0.278,Very low,NA
group_17161,143,53.4,0.508,Low,NA
group_17290,143,28.4,0.168,Very low,NA
group_9113,143,76.5,0.476,Confident,NA
group_16478,144,27.9,0.1,Very low,NA
group_3488,144,26.9,0.155,Very low,NA
group_3327,145,80.6,0.755,Confident,NA
group_3328,145,58.6,0.597,Low,NA
group_16806,145,86.3,0.591,Confident,NA
group_16850,145,82.2,0.774,Confident,NA
group_17021,145,74.5,0.696,Confident,NA
group_3337,145,45.5,0.327,Very low,NA
group_17146,145,42.5,0.299,Very low,NA
group_16316,146,78.8,0.595,Confident,NA
group_16457,146,65.3,0.619,Low,NA
group_16758,146,33.3,0.167,Very low,NA
group_16892,146,30.5,0.151,Very low,NA
group_16968,146,36.1,0.21,Very low,NA
phoE_2,146,72.6,0.706,Confident,NA
group_16226,147,46.8,0.279,Very low,NA
group_16525,147,53.5,0.49,Low,NA
group_16766,147,43.6,0.27,Very low,NA
group_17605,147,67.1,0.665,Low,NA
group_16752,148,68.4,0.612,Low,NA
group_15631,148,43.4,0.434,Very low,NA
btuD_3,148,49.5,0.505,Very low,NA
group_16695,149,47.4,0.244,Very low,NA
group_2786,149,64.9,0.625,Low,NA
group_12469,149,84.6,0.886,Confident,NA
group_16407,150,69.5,0.599,Low,NA
group_16440,150,68.7,0.731,Low,NA
group_16710,150,61.6,0.563,Low,NA
group_2649,150,83.9,0.836,Confident,NA
group_16773,150,76.5,0.771,Confident,NA
group_17338,150,80.2,0.843,Confident,NA
group_9170,151,51.4,0.423,Low,NA
group_16883,151,42.8,0.299,Very low,NA
group_17462,151,57.4,0.447,Low,NA
group_2435,152,52.4,0.496,Low,NA
group_16295,152,48.8,0.238,Very low,NA
group_16960,152,29.3,0.102,Very low,NA
group_17150,152,41.1,0.229,Very low,NA
group_17461,152,72.2,0.543,Confident,NA
group_17468,152,78.5,0.509,Confident,NA
group_17541,152,66.9,0.404,Low,NA
group_14339,153,77.4,0.807,Confident,NA
vsr_1,153,73.8,0.77,Confident,NA
group_11082,153,57.2,0.385,Low,NA
group_2324,153,63.5,0.608,Low,NA
group_16631,153,42.4,0.268,Very low,NA
group_16971,153,57.9,0.332,Low,NA
group_15590,153,68.5,0.743,Low,NA
insI1_2,153,69.9,0.73,Low,NA
group_8642,153,51,0.274,Low,NA
group_16670,154,54,0.469,Low,NA
group_17196,154,71.8,0.691,Confident,NA
group_2212,154,56.1,0.543,Low,NA
group_17432,154,82.5,0.868,Confident,NA
group_17517,154,63,0.558,Low,NA
yhcR,155,77.5,0.781,Confident,NA
group_11094,155,50.5,0.276,Low,NA
group_2078,155,56.7,0.301,Low,NA
group_17142,155,89.9,0.915,Confident,NA
group_16417,156,80.3,0.482,Confident,NA
fdtC,156,85.7,0.885,Confident,NA
rhsD_1,156,74.4,0.617,Confident,NA
group_15167,156,75.1,0.741,Confident,NA
group_15643,156,72.1,0.339,Confident,NA
group_15644,156,69.3,0.643,Low,NA
group_17166,156,65.9,0.443,Low,NA
group_17286,156,58.7,0.476,Low,NA
group_17608,156,89,0.916,Confident,NA
group_1855,157,78.6,0.755,Confident,NA
group_1852,157,70.4,0.715,Confident,NA
group_17490,157,74.3,0.801,Confident,NA
group_1732,158,54,0.379,Low,NA
group_17083,158,86.8,0.719,Confident,NA
group_15619,158,68.4,0.74,Low,NA
group_1743,158,50.9,0.246,Low,NA
group_11098,159,52.2,0.328,Low,NA
group_1592,159,32.9,0.178,Very low,NA
group_17095,159,29.4,0.171,Very low,NA
group_17247,159,50.6,0.328,Low,NA
group_17444,159,41.6,0.339,Very low,NA
group_17466,159,48,0.364,Very low,NA
group_17493,159,47,0.359,Very low,NA
group_17506,159,48.7,0.367,Very low,NA
group_17522,159,50,0.383,Low,NA
group_16259,160,53.7,0.47,Low,NA
cbeA_2,160,33.7,0.271,Very low,NA
group_16571,160,75.3,0.642,Confident,NA
group_17215,160,58.3,0.654,Low,NA
group_17272,160,82.7,0.7,Confident,NA
group_17274,160,71.2,0.429,Confident,NA
group_16254,161,68.9,0.684,Low,NA
group_1347,161,75.3,0.785,Confident,NA
group_16771,161,29.2,0.157,Very low,NA
group_17239,161,55.7,0.407,Low,NA
group_17494,161,76.6,0.82,Confident,NA
group_16405,162,55,0.357,Low,NA
group_17489,162,79.6,0.849,Confident,NA
group_8682,162,82.3,0.874,Confident,NA
group_16445,163,66.8,0.449,Low,NA
group_16493,163,78.6,0.843,Confident,NA
group_1137,163,68.1,0.448,Low,NA
group_17088,163,75.8,0.77,Confident,NA
group_17246,163,46,0.301,Very low,NA
group_15837,164,75,0.781,Confident,NA
group_16550,164,80.2,0.819,Confident,NA
group_16551,164,36.7,0.257,Very low,NA
group_10345,164,72.4,0.741,Confident,NA
group_16746,164,74.9,0.559,Confident,NA
group_17512,164,73.3,0.729,Confident,NA
group_17526,164,35.5,0.207,Very low,NA
group_17563,164,67.8,0.43,Low,NA
group_17619,164,33,0.183,Very low,NA
group_17624,164,27.2,0.139,Very low,NA
group_15279,165,73.1,0.739,Confident,NA
group_16310,165,62.7,0.687,Low,NA
group_16590,165,79.6,0.695,Confident,NA
group_16613,165,64.6,0.501,Low,NA
group_16628,165,59.1,0.637,Low,NA
group_16636,165,66,0.428,Low,NA
group_15613,165,63.3,0.558,Low,NA
group_16966,165,48.4,0.337,Very low,NA
group_17508,165,65.5,0.629,Low,NA
group_16312,166,79.8,0.862,Confident,NA
group_17324,166,54.2,0.595,Low,NA
group_17464,166,62.7,0.573,Low,NA
group_847,166,67.7,0.412,Low,NA
group_16803,167,69.3,0.543,Low,NA
group_16863,167,68,0.461,Low,NA
sefA,167,77.2,0.697,Confident,NA
group_17190,167,55.9,0.391,Low,NA
group_17427,167,63.4,0.726,Low,NA
group_17620,167,68.2,0.506,Low,NA
group_16291,168,31.6,0.229,Very low,NA
group_15839,168,80.7,0.802,Confident,NA
group_16448,168,79.5,0.728,Confident,NA
resA,168,79.3,0.773,Confident,NA
nohD_1,168,77.8,0.399,Confident,NA
group_17154,168,85.4,0.831,Confident,NA
group_17577,168,74.4,0.718,Confident,NA
group_8667,168,47.8,0.351,Very low,NA
group_16643,169,38.4,0.28,Very low,NA
group_16810,169,72.1,0.747,Confident,NA
group_587,169,86.4,0.85,Confident,NA
group_17361,169,38.4,0.278,Very low,NA
group_16914,170,72,0.592,Confident,NA
group_16990,170,75.5,0.719,Confident,NA
group_17045,170,69.2,0.589,Low,NA
group_15592,170,35.3,0.372,Very low,NA
group_17189,170,70.5,0.608,Confident,NA
group_15472,170,28.8,0.184,Very low,NA
group_17516,170,78.9,0.836,Confident,NA
group_16328,171,42.8,0.32,Very low,NA
group_17172,171,71,0.558,Confident,NA
group_8680,171,68.9,0.379,Low,NA
group_16788,172,84.3,0.76,Confident,NA
group_311,172,84.4,0.767,Confident,NA
group_10720,172,67.7,0.715,Low,NA
group_16274,173,31.7,0.101,Very low,NA
group_16279,173,26,0.15,Very low,NA
group_234,173,73,0.751,Confident,NA
group_11302,173,77.6,0.673,Confident,NA
group_9383,173,56.3,0.349,Low,NA
group_16987,174,88.2,0.781,Confident,NA
yfdS,174,62.8,0.354,Low,NA
group_16232,175,80.3,0.778,Confident,NA
group_16245,175,30,0.122,Very low,NA
group_16870,175,78,0.708,Confident,NA
group_17268,175,77.1,0.834,Confident,NA
group_17282,175,84.1,0.612,Confident,NA
group_17385,175,82.1,0.722,Confident,NA
group_9678,175,84.3,0.77,Confident,NA
group_17551,175,64.1,0.501,Low,NA
group_17553,175,73.6,0.381,Confident,NA
group_16597,176,71.2,0.583,Confident,NA
group_12646,176,81.5,0.78,Confident,NA
group_17571,176,79.6,0.809,Confident,NA
group_17594,176,59.2,0.6,Low,NA
group_17627,176,86.5,0.825,Confident,NA
group_29,176,79.3,0.782,Confident,NA
group_16216,177,65.8,0.598,Low,NA
group_12627,177,65.2,0.538,Low,NA
group_16250,177,79.5,0.856,Confident,NA
group_16336,177,74.8,0.493,Confident,NA
group_15853,177,65.5,0.615,Low,NA
aadB,177,88.6,0.909,Confident,NA
group_16744,177,74.9,0.791,Confident,NA
group_8199,177,62.9,0.549,Low,NA
group_12872,177,84.9,0.753,Confident,NA
group_8204,177,73.1,0.42,Confident,NA
group_8206,177,78.9,0.723,Confident,NA
group_8209,177,75.3,0.804,Confident,NA
group_8210,177,47.7,0.184,Very low,NA
group_17339,177,86,0.64,Confident,NA
yeeO_1,178,73.4,0.526,Confident,NA
ompX_1,178,90.3,0.868,Very high,NA
group_10327,178,82.6,0.586,Confident,NA
group_17111,178,75,0.725,Confident,NA
group_8137,178,83.3,0.873,Confident,NA
group_16570,179,89.4,0.79,Confident,NA
group_16591,179,82,0.833,Confident,NA
group_16600,179,82.3,0.801,Confident,NA
group_11480,179,50.2,0.365,Low,NA
group_8050,179,89.3,0.91,Confident,NA
group_8051,179,81.9,0.742,Confident,NA
group_15654,179,85.3,0.808,Confident,NA
group_17206,179,76.6,0.642,Confident,NA
group_8056,179,82.7,0.868,Confident,NA
group_16335,180,79.6,0.693,Confident,NA
group_15859,180,72.9,0.721,Confident,NA
group_11211,180,86.3,0.857,Confident,NA
group_16503,180,80.7,0.857,Confident,NA
group_16634,180,80.4,0.848,Confident,NA
group_16646,180,73.3,0.768,Confident,NA
group_16755,180,77.5,0.58,Confident,NA
group_7959,180,80.5,0.662,Confident,NA
group_7961,180,80.9,0.865,Confident,NA
group_15159,180,72.6,0.688,Confident,NA
group_16894,181,89.8,0.85,Confident,NA
rrrQ_1,181,79.3,0.822,Confident,NA
group_7863,181,88.4,0.907,Confident,NA
group_7759,182,71.4,0.635,Confident,NA
group_14363,183,89.7,0.918,Confident,NA
group_16639,183,80.7,0.459,Confident,NA
clpP1,183,85.5,0.894,Confident,NA
group_16808,183,80.7,0.747,Confident,NA
group_16621,183,74.9,0.706,Confident,NA
group_9280,183,46.3,0.408,Very low,NA
group_7665,183,83,0.807,Confident,NA
group_17157,183,87.1,0.812,Confident,NA
group_17473,183,84.8,0.761,Confident,NA
group_17581,183,72.5,0.724,Confident,NA
group_7668,183,87.8,0.814,Confident,NA
group_7529,184,69.2,0.665,Low,NA
group_16548,184,35,0.237,Very low,NA
group_11100,184,48.3,0.318,Very low,NA
group_7532,184,74.1,0.764,Confident,NA
group_13768,184,71.2,0.663,Confident,NA
group_7536,184,67,0.587,Low,NA
ssb_3,184,79.4,0.649,Confident,NA
group_11017,185,90.8,0.931,Very high,NA
group_10776,185,77.2,0.835,Confident,NA
ompX_4,185,90.5,0.9,Very high,NA
group_10566,185,84.4,0.801,Confident,NA
group_16633,185,58.2,0.492,Low,NA
group_17220,185,73.1,0.597,Confident,NA
group_8536,186,79.3,0.579,Confident,NA
rclC_2,186,76.8,0.81,Confident,NA
group_16727,186,83.2,0.425,Confident,NA
group_16765,186,29.3,0.166,Very low,NA
group_16795,186,36.1,0.247,Very low,NA
group_16984,186,80.4,0.647,Confident,NA
group_17042,186,50.7,0.302,Low,NA
pglD,186,88.5,0.919,Confident,NA
group_17200,186,78.7,0.64,Confident,NA
group_17248,186,76.9,0.609,Confident,NA
group_13858,186,79.4,0.614,Confident,NA
group_17481,186,85.3,0.855,Confident,NA
group_17569,186,84.8,0.788,Confident,NA
group_16313,187,80.4,0.795,Confident,NA
group_7299,187,83.4,0.792,Confident,NA
group_16622,187,77.9,0.741,Confident,NA
group_7302,187,93.2,0.935,Very high,NA
group_16989,187,56.1,0.437,Low,NA
group_11947,187,76.1,0.389,Confident,NA
group_16415,188,77.7,0.447,Confident,NA
group_16689,188,86,0.641,Confident,NA
group_11943,188,94.9,0.781,Very high,NA
group_8326,189,83.3,0.531,Confident,NA
group_7143,189,83,0.473,Confident,NA
group_14181,189,77.8,0.62,Confident,NA
group_12481,189,86.7,0.915,Confident,NA
pinE,189,90.3,0.791,Very high,NA
group_7146,189,81.4,0.456,Confident,NA
group_16706,190,54.1,0.46,Low,NA
group_16732,190,29.6,0.156,Very low,NA
ybgD_3,190,82.7,0.72,Confident,NA
group_17543,190,64.2,0.383,Low,NA
group_17611,190,71.3,0.578,Confident,NA
group_16372,191,37.7,0.235,Very low,NA
group_16412,191,82.1,0.792,Confident,NA
group_6995,191,78.2,0.65,Confident,NA
group_7000,191,86.9,0.904,Confident,NA
group_16608,191,90.9,0.935,Very high,NA
group_17144,191,82.8,0.811,Confident,NA
group_17477,191,79.5,0.789,Confident,NA
group_17613,191,84.6,0.853,Confident,NA
group_12773,192,33.5,0.193,Very low,NA
mrr_2,192,82.9,0.801,Confident,NA
group_6936,192,86.8,0.893,Confident,NA
group_6941,192,75.6,0.619,Confident,NA
group_17032,192,85.3,0.852,Confident,NA
group_6944,192,45.3,0.303,Very low,NA
group_17565,192,86,0.791,Confident,NA
group_11185,193,88.4,0.772,Confident,NA
group_16494,193,82.1,0.769,Confident,NA
group_6852,193,82.9,0.543,Confident,NA
group_16941,193,80.2,0.639,Confident,NA
group_17165,193,66.6,0.497,Low,NA
group_17249,193,60.9,0.474,Low,NA
group_17564,193,36.2,0.238,Very low,NA
group_16368,194,91.5,0.772,Very high,NA
group_16792,194,72.7,0.714,Confident,NA
wcaB_2,194,84.1,0.87,Confident,NA
group_17332,194,88.9,0.902,Confident,NA
group_17566,194,85.6,0.792,Confident,NA
group_9886,195,95.4,0.8,Very high,NA
group_16669,195,78,0.839,Confident,NA
group_17584,195,78.8,0.558,Confident,NA
group_6664,196,58.7,0.372,Low,NA
group_17430,196,28.2,0.098,Very low,NA
group_17485,197,78.5,0.809,Confident,NA
group_16265,198,58.8,0.381,Low,NA
group_16511,198,84.1,0.898,Confident,NA
group_16546,198,90.2,0.846,Very high,NA
tfaR,198,94.9,0.817,Very high,NA
group_6521,198,30.9,0.208,Very low,NA
group_17191,198,80.4,0.568,Confident,NA
group_17612,198,84.1,0.78,Confident,NA
group_16946,199,82.2,0.644,Confident,NA
group_15582,199,84.1,0.646,Confident,NA
group_17181,199,90.5,0.873,Very high,NA
group_16246,200,46.1,0.407,Very low,NA
group_16262,200,96.5,0.807,Very high,NA
group_16492,200,74.3,0.641,Confident,NA
group_16876,200,80.5,0.864,Confident,NA
group_16985,200,81.8,0.428,Confident,NA
group_15591,200,79.3,0.527,Confident,NA
group_17524,200,89.1,0.81,Confident,NA
group_12513,201,83.2,0.847,Confident,NA
group_6319,201,77.3,0.577,Confident,NA
group_17585,201,79.3,0.533,Confident,NA
group_16236,202,73.2,0.499,Confident,NA
group_16237,202,87.6,0.816,Confident,NA
group_10493,202,73.2,0.678,Confident,NA
group_17185,202,89.6,0.732,Confident,NA
group_17455,202,78.2,0.741,Confident,NA
group_16468,203,78.5,0.751,Confident,NA
group_9878,203,91.2,0.928,Very high,NA
group_16595,203,77.3,0.818,Confident,NA
group_17026,203,81.5,0.777,Confident,NA
group_6242,203,78.4,0.78,Confident,NA
group_13855,204,80.5,0.818,Confident,NA
group_16434,205,89.2,0.931,Confident,NA
group_15616,205,93,0.771,Very high,NA
group_17232,205,42,0.36,Very low,NA
group_17285,205,27.5,0.122,Very low,NA
group_17641,205,89.4,0.928,Confident,NA
group_6125,206,26.8,0.104,Very low,NA
group_16867,206,85.7,0.861,Confident,NA
group_12640,206,51.5,0.299,Low,NA
group_16465,207,91.9,0.9,Very high,NA
group_6094,207,85.3,0.805,Confident,NA
gadX_1,207,80.3,0.64,Confident,NA
group_6096,207,93.8,0.948,Very high,NA
group_16439,208,32.3,0.179,Very low,NA
hisH_1,208,94.6,0.96,Very high,NA
group_17390,208,95.4,0.948,Very high,NA
group_17515,208,90,0.62,Very high,NA
group_17001,209,82.8,0.443,Confident,NA
group_16356,210,90.7,0.74,Very high,NA
group_16378,210,87.1,0.803,Confident,NA
group_16829,210,78.5,0.467,Confident,NA
group_15595,210,89,0.89,Confident,NA
group_5999,210,69.4,0.419,Low,NA
group_5966,211,79.2,0.626,Confident,NA
insI1_1,211,79.7,0.444,Confident,NA
group_16247,212,62.1,0.408,Low,NA
dsbA_3,212,91.3,0.888,Very high,NA
group_17580,212,73.5,0.572,Confident,NA
group_17498,213,92,0.956,Very high,NA
group_16470,214,86.2,0.687,Confident,NA
group_5872,214,85.1,0.915,Confident,NA
group_16331,215,93.9,0.959,Very high,NA
trmR,215,89,0.925,Confident,NA
group_5836,215,54.8,0.544,Low,NA
group_17530,215,74.4,0.795,Confident,NA
group_16733,216,79.6,0.845,Confident,NA
group_16737,216,78.9,0.607,Confident,NA
group_5797,216,85.6,0.83,Confident,NA
group_5799,216,74.2,0.727,Confident,NA
fdnI_1,217,91.7,0.93,Very high,NA
group_16861,217,48,0.354,Very low,NA
group_14178,217,54.8,0.509,Low,NA
group_5748,217,62.6,0.406,Low,NA
group_17434,217,94.9,0.928,Very high,NA
dsbA_2,218,90,0.884,Very high,NA
group_5663,219,54.4,0.298,Low,NA
group_15115,219,87.3,0.624,Confident,NA
group_17054,219,27.2,0.125,Very low,NA
group_17192,219,89.5,0.767,Confident,NA
group_5665,219,48.8,0.329,Very low,NA
group_17019,220,88,0.741,Confident,NA
group_17293,220,78.8,0.811,Confident,NA
group_16398,222,68.6,0.571,Low,NA
group_5551,222,78.2,0.849,Confident,NA
group_16287,223,72.7,0.794,Confident,NA
group_11187,223,55,0.342,Low,NA
group_16593,223,92.5,0.732,Very high,NA
group_17188,224,80,0.732,Confident,NA
group_16753,225,49.8,0.395,Very low,NA
group_5474,225,87.2,0.669,Confident,NA
group_17547,225,39.5,0.237,Very low,NA
group_17102,226,82.1,0.677,Confident,NA
group_17419,226,87.1,0.922,Confident,NA
group_16319,227,90.7,0.687,Very high,NA
group_11200,227,89.8,0.68,Confident,NA
group_17221,227,94.6,0.963,Very high,NA
group_16469,228,72,0.707,Confident,NA
group_5361,228,79.4,0.783,Confident,NA
group_17158,228,92,0.948,Very high,NA
group_17588,228,73.5,0.416,Confident,NA
group_16556,229,90.3,0.906,Very high,NA
repE_2,229,86.9,0.898,Confident,NA
group_8709,229,84.3,0.586,Confident,NA
ushA_2,230,87.8,0.88,Confident,NA
yraI_3,230,87.1,0.853,Confident,NA
group_5295,230,79.9,0.432,Confident,NA
group_5299,230,87.1,0.862,Confident,NA
group_14368,230,76.3,0.675,Confident,NA
group_12748,231,80.3,0.794,Confident,NA
group_16668,231,82,0.845,Confident,NA
group_16917,231,91.4,0.93,Very high,NA
pezT,232,90,0.935,Very high,NA
group_5296,232,92.7,0.876,Very high,NA
group_10484,232,77.7,0.411,Confident,NA
group_9096,232,85.5,0.683,Confident,NA
group_16308,233,83.6,0.892,Confident,NA
group_16351,233,37.4,0.104,Very low,NA
yadV_1,233,89.4,0.881,Confident,NA
group_5056,233,61.3,0.385,Low,NA
