Gene,group,annotated,COG_category,COG_description,Preferred_name,GOs,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction
rzpD_3~~~rzpD_4~~~rzpD_2~~~rzpD_1~~~rzpD,cloud,Yes,S,Function Unknown,rzpD,-,ko:K14744,-,-,-
intS~~~intS_1~~~intS_2~~~intS_3~~~intS_4,shell,Yes,L,Replication and repair,-,-,-,-,-,-
group_3809,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_19935,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3810,cloud,Yes,S,Function Unknown,-,-,ko:K07484,-,-,-
group_19936,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3811,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3812,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3814,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3813,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
insN2~~~insN1,cloud,Yes,J,Tranlsation,-,-,-,-,-,-
group_3818,cloud,Yes,V,Defense mechanism,-,-,ko:K07454,-,-,-
group_18473,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_19938,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_19939,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
hsdR~~~hsdR_2~~~hsdR_3,cloud,Yes,L,Replication and repair,hsdR,-,ko:K01153,-,-,-
group_19940,cloud,Yes,V,Defense mechanism,hsdM,-,ko:K03427,-,-,-
group_8381,cloud,Yes,V,Defense mechanism,hsdM,-,ko:K03427,-,-,-
group_9730,cloud,Yes,"N,U","Cell motility,Intracellular trafficing and secretion",-,-,-,-,-,-
psiB_1~~~psiB~~~psiB_2,shell,Yes,S,Function Unknown,psiB,-,-,-,-,-
group_3826,shell,Yes,S,Function Unknown,repA1,-,-,-,-,-
group_19941,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
rzpD~~~rzpD_4~~~rzpD_3~~~rzpD_1~~~rzpD_2~~~rzpD_5~~~rzoD~~~rzpD_6,shell,Yes,S,Function Unknown,rzpD,-,ko:K14744,-,-,-
group_3829,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3830,shell,Yes,Not annotated,NA,-,-,-,-,-,-
rhsC_1~~~rhsD_1,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_19942,cloud,Yes,L,Replication and repair,tnpR,-,-,-,-,-
group_3831,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_15331,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19848,cloud,Yes,S,Function Unknown,-,"GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0008150,GO:0016032,GO:0016787,GO:0016798,GO:0019012,GO:0019058,GO:0019062,GO:0022610,GO:0044403,GO:0044406,GO:0044409,GO:0044411,GO:0044419,GO:0044423,GO:0044650,GO:0051701,GO:0051704,GO:0051828,GO:0051830,GO:0085027,GO:0098015,GO:0098024",-,-,-,-
group_3832,cloud,Yes,L,Replication and repair,-,-,ko:K06919,-,-,-
group_3834,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_13247,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
rrrQ~~~rrrQ_2~~~rrrQ_1~~~ydfR,shell,Yes,G,Carbohydrate metabolism and transport,arrQ,-,ko:K01185,-,-,-
group_19943,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_3836,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_8423,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_8425,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
bin3,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
acnB_2~~~acnB,cloud,Yes,C,Energy production and conversion,acnB,"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003730,GO:0003824,GO:0003994,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006081,GO:0006082,GO:0006091,GO:0006097,GO:0006099,GO:0006101,GO:0006417,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009056,GO:0009060,GO:0009062,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0010608,GO:0015980,GO:0016042,GO:0016054,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017001,GO:0017144,GO:0019222,GO:0019541,GO:0019543,GO:0019626,GO:0019629,GO:0019752,GO:0031323,GO:0031326,GO:0032268,GO:0032787,GO:0034248,GO:0042737,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044262,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0046395,GO:0046459,GO:0046487,GO:0047456,GO:0048037,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0060255,GO:0065007,GO:0071704,GO:0072329,GO:0072350,GO:0080090,GO:0097159,GO:1901363,GO:1901575,GO:2000112",ko:K01682,"ko00020,ko00630,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230","M00009,M00010,M00012,M00173","R01324,R01325,R01900,R04425"
intA_3~~~intA_2~~~intA_4~~~intA_1~~~intA,cloud,Yes,L,Replication and repair,intA,-,-,-,-,-
group_19944,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_19945,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_19946,cloud,Yes,V,Defense mechanism,-,-,ko:K07452,-,-,-
pikAV_1,shell,Yes,Q,Secondary Structure,basH,-,ko:K12242,-,-,-
group_19947,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3841,cloud,Yes,L,Replication and repair,-,-,ko:K07459,-,-,-
group_3842,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3843,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19948,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
chpS_1~~~chpS,cloud,Yes,T,Signal Transduction,pemI,-,ko:K18842,-,-,-
group_3845,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
merR~~~zntR_2,cloud,Yes,K,Transcription,merR,-,ko:K08365,-,-,-
group_3846,cloud,Yes,L,Replication and repair,-,-,ko:K01153,-,-,-
group_3847,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_3848,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3849,shell,Yes,Not annotated,NA,-,-,-,-,-,-
group_3850,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
ykgN_1~~~ykgN_2~~~ykgN~~~insF5_4~~~insF5~~~insF5_1~~~insF5_2~~~insEF1,shell,Yes,L,Replication and repair,-,-,ko:K07497,-,-,-
group_3852,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
nohA_1,shell,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
xerC_5,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_3854,cloud,Yes,S,Function Unknown,-,-,ko:K07089,-,-,-
pagN_1~~~pagN~~~pagN_2,shell,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
traM~~~traM_2,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_13008,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
kpsD,shell,Yes,M,Cell wall/membrane/envelop biogenesis,kpsD,-,-,-,-,-
pinE_2~~~pinE_1~~~pinE_4~~~pinE_7,cloud,Yes,L,Replication and repair,-,-,ko:K14060,-,-,-
group_19949,cloud,Yes,G,Carbohydrate metabolism and transport,-,-,-,-,-,-
group_19729,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_16542,cloud,Yes,K,Transcription,-,-,-,-,-,-
pinR_2,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_3860,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_3862,shell,Yes,Not annotated,NA,-,-,-,-,-,-
group_3863,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3864,cloud,Yes,L,Replication and repair,-,-,ko:K03657,"ko03420,ko03430,map03420,map03430",-,-
group_19950,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19951,cloud,Yes,D,Cell cycle control and mitosis,sca1,-,-,-,-,-
group_3866,cloud,Yes,S,Function Unknown,Q,-,-,-,-,-
group_3867,cloud,Yes,D,Cell cycle control and mitosis,sca1,-,-,-,-,-
group_19955,cloud,Yes,S,Function Unknown,nanS,"GO:0006082,GO:0008150,GO:0008152,GO:0009987,GO:0019752,GO:0043436,GO:0044237,GO:0044281,GO:0071704",ko:K22111,-,-,-
insO1~~~insF5~~~insF5_1~~~insO2~~~insF5_3~~~insK_1~~~insF5_5~~~insF5_6,shell,Yes,L,Replication and repair,-,-,ko:K07497,-,-,-
stfQ~~~stfR,shell,Yes,S,Function Unknown,-,"GO:0005575,GO:0008150,GO:0016032,GO:0019012,GO:0019058,GO:0019062,GO:0022610,GO:0039638,GO:0044403,GO:0044406,GO:0044419,GO:0044423,GO:0044650,GO:0051704,GO:0098015,GO:0098024",-,-,-,-
group_3869,cloud,Yes,V,Defense mechanism,hsdM,-,ko:K03427,-,-,-
dbpA_2,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
vgrG1_3~~~vgrG1_1~~~vgrG1_2~~~vgrG1,shell,Yes,S,Function Unknown,vgrG,-,ko:K11904,"ko03070,map03070",M00334,-
group_14147,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3872,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3873,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3874,cloud,Yes,L,Replication and repair,-,-,ko:K06919,-,-,-
group_10538,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_10539,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_18030,cloud,Yes,S,Function Unknown,H,-,-,-,-,-
group_3876,shell,Yes,S,Function Unknown,-,-,-,-,-,-
sigL,cloud,Yes,K,Transcription,-,-,-,-,-,-
ynfE_2~~~ynfE_1,cloud,Yes,C,Energy production and conversion,phsA,-,ko:K08352,"ko00920,ko01120,map00920,map01120",-,R10149
group_19957,cloud,Yes,S,Function Unknown,-,-,ko:K12070,-,-,-
group_3881,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_9025,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
yfjX_3~~~yfjX_4~~~yfjX_2~~~yfjX~~~yfjX_1,shell,Yes,S,Function Unknown,yfjX,-,-,-,-,-
ydfX,shell,Yes,S,Function Unknown,ydfX,-,-,-,-,-
insB3~~~insB4~~~insB6_1~~~insB6~~~insB6_23~~~insB6_2,cloud,Yes,L,Replication and repair,-,-,ko:K07480,-,-,-
umuC_2~~~umuC_3~~~umuC_4~~~umuC_1,shell,Yes,L,Replication and repair,umuC,-,ko:K03502,-,-,-
group_10491,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
recE~~~recE_2~~~recE_1~~~recE_3,shell,Yes,L,Replication and repair,recE,"GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004536,GO:0005488,GO:0005515,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008309,GO:0008409,GO:0009987,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0034641,GO:0035312,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051908,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360",ko:K10906,-,-,-
group_3883,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3884,cloud,Yes,F,Nucleotide metabolism and transport,-,-,-,-,-,-
group_19958,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
ydaT~~~ydaT_1~~~ydaT_2~~~ydaT_3,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_3885,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3888,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_8446,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_18307,cloud,Yes,S,Function Unknown,merC,-,ko:K19058,-,-,-
merA_1~~~merA_2~~~merA,cloud,Yes,C,Energy production and conversion,merA,-,ko:K00520,-,-,-
group_14563,cloud,Yes,K,Transcription,mrfJ,-,-,-,-,-
group_19960,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
wzb~~~etp_2,cloud,Yes,T,Signal Transduction,etp,"GO:0003674,GO:0003824,GO:0004721,GO:0004725,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019538,GO:0035335,GO:0036211,GO:0042578,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0140096,GO:1901564","ko:K01104,ko:K20945","ko05111,map05111",-,-
group_3894,shell,Yes,S,Function Unknown,-,-,-,-,-,-
tfaQ_2~~~tfaQ_3~~~tfaQ~~~tfaD_1~~~tfaD~~~tfaQ_1~~~tfaD_2~~~tfaR,cloud,Yes,S,Function Unknown,tfaR,-,-,-,-,-
group_19961,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3896,cloud,Yes,D,Cell cycle control and mitosis,-,-,-,-,-,-
rutB_1~~~rutB_3,cloud,Yes,Q,Secondary Structure,rutB,-,-,-,-,-
group_19963,cloud,Yes,K,Transcription,-,-,-,-,-,-
rhsD~~~rhsC,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
soxS_1~~~soxS_2,cloud,Yes,K,Transcription,soxS,-,"ko:K07506,ko:K13631",-,M00647,-
group_19967,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3898,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3899,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_12721,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3900,cloud,Yes,D,Cell cycle control and mitosis,sca1,-,-,-,-,-
group_3901,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_15857,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19969,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_19970,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_19971,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3903,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_3907,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_3905,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
ogl,cloud,Yes,U,Intracellular trafficing and secretion,ogl,-,ko:K01730,"ko00040,map00040",-,R04382
group_3908,cloud,Yes,L,Replication and repair,-,-,ko:K07483,-,-,-
quuD_2~~~quuD_1~~~quuD_3~~~quuD,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
quuD~~~quuD_2~~~quuD_1~~~quuD_3,cloud,Yes,S,Function Unknown,ybcQ,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0008150,GO:0009987,GO:0042710,GO:0044010,GO:0044764,GO:0051704,GO:0097159,GO:1901363",-,-,-,-
yfjJ~~~yagK_2~~~yagK_1~~~yagK_3~~~yfjJ_1~~~yagK~~~yfjJ_2,shell,Yes,S,Function Unknown,-,-,-,-,-,-
bcs1~~~ispD_2~~~acs1,cloud,Yes,"I,Q","Lipid metabolism,Secondary Structure",-,-,ko:K00991,"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130",M00096,R05633
group_18150,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3913,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_9030,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3914,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_19972,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19973,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3915,cloud,Yes,L,Replication and repair,-,-,ko:K07483,-,-,-
ypjF_2~~~ykfI_1~~~ykfI_2~~~ypjF~~~ykfI,cloud,Yes,S,Function Unknown,ykfI,"GO:0001558,GO:0008150,GO:0030308,GO:0040008,GO:0045926,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051128,GO:0065007",ko:K18837,-,-,-
group_19975,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3916,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_8464,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3918,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3920,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3922,shell,Yes,S,Function Unknown,tchA,-,-,-,-,-
group_19451,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
hokD~~~hokD_1~~~mokC_2~~~mokC_1,cloud,Yes,S,Function Unknown,-,-,"ko:K18919,ko:K18920,ko:K18921",-,-,-
group_3925,shell,Yes,Not annotated,NA,-,-,-,-,-,-
group_3926,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_16675,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3929,cloud,Yes,"C,O","Energy production and conversion,Post-translational modification, protein turnover, chaperone functions",traF,-,ko:K12057,-,-,-
group_3928,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3930,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3931,cloud,Yes,V,Defense mechanism,-,-,ko:K07454,-,-,-
traA~~~traA_2~~~traA_1,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_8325,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
traQ~~~traQ_2,shell,Yes,"C,O","Energy production and conversion,Post-translational modification, protein turnover, chaperone functions",-,-,-,-,-,-
group_3933,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3935,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3936,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19977,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_18470,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_18471,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
yfcR~~~yfcR_1~~~yfcR_2,shell,Yes,"N,U","Cell motility,Intracellular trafficing and secretion",yfcR,"GO:0007155,GO:0008150,GO:0022610",-,-,-,-
ydfT~~~ydfT_3~~~ydfT_2~~~ydfT_1,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_3944,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3945,cloud,Yes,Not annotated,NA,-,-,ko:K12788,"ko05130,map05130",M00542,-
group_3946,cloud,Yes,L,Replication and repair,-,-,ko:K03111,"ko03030,ko03430,ko03440,map03030,map03430,map03440",-,-
group_9079,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3948,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3949,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_12004,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_17371,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_17373,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_19978,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_19979,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3951,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3952,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_19980,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19974,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
ygiW_2~~~ygiW_3,cloud,Yes,S,Function Unknown,ygiW,-,-,-,-,-
yjdN,soft_core,Yes,S,Function Unknown,phnB,-,ko:K04750,-,-,-
phnC~~~phnC_1,soft_core,Yes,P,Inorganic ion transport and metabolism,phnC,-,ko:K02041,"ko02010,map02010",M00223,-
group_3956,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3957,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_13701,cloud,Yes,S,Function Unknown,repA,-,-,-,-,-
group_10507,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3961,cloud,Yes,D,Cell cycle control and mitosis,-,-,ko:K19175,-,-,-
group_3963,cloud,Yes,L,Replication and repair,-,-,ko:K07483,-,-,-
group_3964,cloud,Yes,D,Cell cycle control and mitosis,-,-,-,-,-,-
group_3965,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_9910,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
rusA_3~~~rusA_1~~~rusA_6,cloud,Yes,L,Replication and repair,rusA,-,ko:K01160,-,-,-
nohD_2~~~nohA~~~nohD,shell,Yes,L,Replication and repair,-,-,-,-,-,-
group_3968,cloud,Yes,L,Replication and repair,-,-,ko:K03427,-,-,-
flu_1~~~flu_3~~~flu~~~flu_2~~~flu_4,shell,Yes,"M,U","Cell wall/membrane/envelop biogenesis,Intracellular trafficing and secretion",flu,"GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944",ko:K12687,"ko02026,map02026",-,-
group_3969,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19983,cloud,Yes,"N,U","Cell motility,Intracellular trafficing and secretion",pilV,-,-,-,-,-
mokC_1~~~mokC_2~~~mokC_3~~~mokC~~~hokD_1,shell,Yes,S,Function Unknown,-,-,-,-,-,-
mokC_2,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_8736,cloud,Yes,S,Function Unknown,fI,-,ko:K06907,-,-,-
group_3971,cloud,Yes,L,Replication and repair,-,-,ko:K07448,-,-,-
haeIIIM,cloud,Yes,H,Coenzyme metabolis,-,-,ko:K00558,"ko00270,ko01100,ko05206,map00270,map01100,map05206",M00035,R04858
group_19984,cloud,Yes,S,Function Unknown,-,-,ko:K12068,-,-,-
group_19985,cloud,Yes,S,Function Unknown,-,-,ko:K12067,-,-,-
group_3973,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_14814,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3975,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_19992,cloud,Yes,J,Tranlsation,-,-,-,-,-,-
group_3976,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3977,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3978,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
hsdM~~~hsdM_2,shell,Yes,L,Replication and repair,hsdM,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0016740,GO:0016741,GO:0032259,GO:0044424,GO:0044444,GO:0044464",ko:K03427,-,-,-
tfaD_2~~~tfaD~~~tfaR,cloud,Yes,S,Function Unknown,tfaE,-,-,-,-,-
group_3980,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_3981,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3983,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
etk_2~~~etk_1,cloud,Yes,D,Cell cycle control and mitosis,wzc,"GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016021,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019538,GO:0031224,GO:0036211,GO:0038083,GO:0042802,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044464,GO:0046777,GO:0071704,GO:0071944,GO:0140096,GO:1901564",ko:K16692,-,-,-
group_11016,cloud,Yes,D,Cell cycle control and mitosis,wzc,"GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016021,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019538,GO:0031224,GO:0036211,GO:0038083,GO:0042802,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044464,GO:0046777,GO:0071704,GO:0071944,GO:0140096,GO:1901564",ko:K16692,-,-,-
group_3984,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
xerC_3~~~xerC_4~~~xerC_1,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
proQ_1~~~proQ_2~~~proQ_3,cloud,Yes,T,Signal Transduction,-,-,ko:K03607,-,-,-
group_11955,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19993,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3985,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3987,cloud,Yes,S,Function Unknown,-,-,ko:K06908,-,-,-
group_19933,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_19997,cloud,Yes,L,Replication and repair,-,-,ko:K00986,-,-,-
group_13314,cloud,Yes,Not annotated,NA,-,-,ko:K03503,-,-,-
group_18472,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_18464,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_13250,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11303,cloud,Yes,L,Replication and repair,-,-,ko:K07451,-,-,-
group_19998,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_12504,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3995,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
yfjX_3~~~yfjX_2~~~yafX~~~yafX_1~~~yfjX,cloud,Yes,S,Function Unknown,yfjX,-,-,-,-,-
yfjY,cloud,Yes,E,Amino Acid metabolis and transport,-,-,ko:K03630,-,-,-
yfjY~~~ykfG,cloud,Yes,E,Amino Acid metabolis and transport,-,-,ko:K03630,-,-,-
yfjY~~~ykfG_1~~~ykfG_2~~~ykfG~~~yeeS~~~yeeS_2~~~yeeS_4~~~yeeS_5~~~yeeS_1,cloud,Yes,E,Amino Acid metabolis and transport,ykfG,-,ko:K03630,-,-,-
group_3997,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_3999,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_4000,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_17882,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_4001,shell,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_4002,shell,Yes,S,Function Unknown,traL,-,ko:K12068,-,-,-
group_19999,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_16371,cloud,Yes,K,Transcription,arsR2,-,ko:K03892,-,-,-
group_4005,shell,Yes,Not annotated,NA,-,-,-,-,-,-
group_4006,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_4007,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_20000,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_20001,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
rrrQ~~~rrrQ_1~~~rrrQ_2~~~rrrQ_3~~~rrrQ_4~~~rrrQ_5,shell,Yes,G,Carbohydrate metabolism and transport,arrQ,-,ko:K01185,-,-,-
